steps1;lambda1;preu1;;steps5;lambda5;preu5;;steps25;lambda25;preu25;;steps125;lambda125;preu125
1;1;1041,8067;;1;1;1041,8101;;1;1;1041,8101;;1;1;1041,8059
100;1;1037,7174;;100;1;1038,0855;;100;1;1039,1095;;100;1;1038,651
200;1;1032,4965;;200;1;1032,9138;;200;1;1034,4796;;200;1;1036,1271
500;1;1014,8474;;500;1;1018,0086;;500;1;1017,858;;500;1;1019,4576
1000;1;1002,9456;;1000;1;1004,3043;;1000;1;1002,4913;;1000;1;1003,8929
2000;1;1003,7464;;2000;1;1002,5473;;2000;1;1005,1292;;2000;1;1003,7827
5000;1;1003,3041;;5000;1;1003,7241;;5000;1;1002,9781;;5000;1;1005,8523
10000;1;1000,8181;;10000;1;1001,8225;;10000;1;1003,0724;;10000;1;1006,3399
20000;1;1002,8897;;20000;1;1003,1418;;20000;1;1003,8483;;20000;1;1003,9529
30000;1;1002,5521;;30000;1;1004,4894;;30000;1;1003,2647;;30000;1;1003,6296
40000;1;1003,0244;;40000;1;1001,4623;;40000;1;1003,2035;;40000;1;1003,8668
50000;1;1003,5502;;50000;1;1002,7203;;50000;1;1005,4072;;50000;1;1004,6963
60000;1;1002,0771;;60000;1;1003,6376;;60000;1;1005,6358;;60000;1;1004,2892
70000;1;1001,7834;;70000;1;1000,5607;;70000;1;1003,8107;;70000;1;1004,3227
80000;1;1001,877;;80000;1;1002,8093;;80000;1;1004,3903;;80000;1;1002,8578
90000;1;1000,7793;;90000;1;1002,8367;;90000;1;1005,26;;90000;1;1002,2737
100000;1;1002,4304;;100000;1;1004,7178;;100000;1;1005,4565;;100000;1;1004,2419
1;0,01;1041,7766;;1;0,01;1041,8101;;1;0,01;1041,7075;;1;0,01;1041,7993
100;0,01;1037,6068;;100;0,01;1037,5297;;100;0,01;1038,6645;;100;0,01;1037,9543
200;0,01;1031,4286;;200;0,01;1033,5434;;200;0,01;1036,0623;;200;0,01;1034,466
500;0,01;1015,6283;;500;0,01;1017,5292;;500;0,01;1024,027;;500;0,01;1031,1018
1000;0,01;994,3755;;1000;0,01;997,0611;;1000;0,01;1000,8946;;1000;0,01;1005,6247
2000;0,01;974,6628;;2000;0,01;975,2765;;2000;0,01;977,9683;;2000;0,01;980,4599
5000;0,01;961,9351;;5000;0,01;961,3336;;5000;0,01;961,4714;;5000;0,01;962,7163
10000;0,01;958,5157;;10000;0,01;958,381;;10000;0,01;958,6821;;10000;0,01;958,6757
20000;0,01;957,7236;;20000;0,01;957,7008;;20000;0,01;957,6085;;20000;0,01;957,6573
30000;0,01;957,6464;;30000;0,01;957,535;;30000;0,01;957,594;;30000;0,01;957,5014
40000;0,01;957,5096;;40000;0,01;957,5641;;40000;0,01;957,5414;;40000;0,01;957,4825
50000;0,01;957,4528;;50000;0,01;957,5761;;50000;0,01;957,4509;;50000;0,01;957,4876
60000;0,01;957,6326;;60000;0,01;957,5905;;60000;0,01;957,5746;;60000;0,01;957,4806
70000;0,01;957,5233;;70000;0,01;957,6269;;70000;0,01;957,6118;;70000;0,01;957,5433
80000;0,01;957,5295;;80000;0,01;957,5137;;80000;0,01;957,5496;;80000;0,01;957,5237
90000;0,01;957,5296;;90000;0,01;957,4949;;90000;0,01;957,4839;;90000;0,01;957,5392
100000;0,01;957,5269;;100000;0,01;957,5485;;100000;0,01;957,5271;;100000;0,01;957,5069
1;1,00E-04;1041,8008;;1;1,00E-04;1041,8044;;1;1,00E-04;1041,8083;;1;1,00E-04;1041,745
100;1,00E-04;1036,911;;100;1,00E-04;1038,3552;;100;1,00E-04;1038,2104;;100;1,00E-04;1038,5862
200;1,00E-04;1031,2741;;200;1,00E-04;1033,9124;;200;1,00E-04;1035,2829;;200;1,00E-04;1036,9328
500;1,00E-04;1019,2026;;500;1,00E-04;1026,332;;500;1,00E-04;1030,447;;500;1,00E-04;1032,4594
1000;1,00E-04;1001,8099;;1000;1,00E-04;1016,794;;1000;1,00E-04;1026,6165;;1000;1,00E-04;1028,6215
2000;1,00E-04;981,8018;;2000;1,00E-04;1007,2401;;2000;1,00E-04;1023,4587;;2000;1,00E-04;1026,7876
5000;1,00E-04;968,2643;;5000;1,00E-04;996,7445;;5000;1,00E-04;1018,6272;;5000;1,00E-04;1023,1751
10000;1,00E-04;962,8279;;10000;1,00E-04;985,3083;;10000;1,00E-04;1012,9487;;10000;1,00E-04;1021,1385
20000;1,00E-04;958,7105;;20000;1,00E-04;967,6721;;20000;1,00E-04;1000,6794;;20000;1,00E-04;1016,5011
30000;1,00E-04;957,684;;30000;1,00E-04;960,5959;;30000;1,00E-04;976,6492;;30000;1,00E-04;1009,7501
40000;1,00E-04;957,4413;;40000;1,00E-04;958,1236;;40000;1,00E-04;964,3399;;40000;1,00E-04;989,815
50000;1,00E-04;957,4027;;50000;1,00E-04;957,5875;;50000;1,00E-04;959,2183;;50000;1,00E-04;970,4195
60000;1,00E-04;957,3795;;60000;1,00E-04;957,3634;;60000;1,00E-04;957,8374;;60000;1,00E-04;961,3798
70000;1,00E-04;957,3587;;70000;1,00E-04;957,4247;;70000;1,00E-04;957,5301;;70000;1,00E-04;958,4716
80000;1,00E-04;957,4365;;80000;1,00E-04;957,3744;;80000;1,00E-04;957,4051;;80000;1,00E-04;957,6176
90000;1,00E-04;957,378;;90000;1,00E-04;957,411;;90000;1,00E-04;957,3524;;90000;1,00E-04;957,4125
100000;1,00E-04;957,4337;;100000;1,00E-04;957,3787;;100000;1,00E-04;957,3268;;100000;1,00E-04;957,3386
