SEED;COMANDO;Felicitat 0;Felicitat 5;Felicitat 10;Felicitat 15;Felicitat 20
1;100 1 1,2 1 1 0;1.077;1.205;1.312;1.308;1.308
2;100 2 1,2 1 0 0;1.013;1.165;1.244;1.244;1.244
3;100 3 1,2 1 0 0;958;1.055;1.069;1.069;1.069
4;100 4 1,2 1 0 0;1.038;1.180;1.283;1282,84;1.283
5;100 5 1,2 1 0 0;860;1040,85;1.054;1.054;1.054
6;100 6 1,2 1 0 0;968;1.062;1.101;1.100;1.100
7;100 7 1,2 1 0 0;853;1.012;1.075;1.075;1.075
8;100 8 1,2 1 0 0;1.058;1166,63;1.242;1.255;1.255
9;100 9 1,2 1 0 0;1.008;1.147;1.296;1283,91;1283,91
10;100 10 1,2 1 0 0;1.039;1135,21;1.244;1.243;1.243
