SEED;COMANDO;Proporci—n 1.2;Proporci—n 1.4;Proporci—n 1.6;Proporci—n 1.8;Proporci—n 2.0;Proporci—n 2.2;Proporci—n 2.4;Proporci—n 2.6;Proporci—n 2.8
343;100 343 x 1 0 0;749;1383;1069;1520;1829;1550;1933;;
564;100 564 x 1 0 0;404;686;691;732;1245;1602;1199;;
847;100 847 x 1 0 0;384;479;606;888;737;1122;720;;
838;100 838 x 1 0 0;325;502;649;646;714;1345;796;;
283;100 283 x 1 0 0;383;669;812;710;727;1597;967;;
103;100 103 x 1 0 0;381;388;471;646;378;690;958;;
139;100 139 x 1 0 0;163;419;409;482;709;657;811;;
389;100 389 x 1 0 0;290;385;494;320;692;1002;991;;
498;100 498 x 1 0 0;124;471;576;676;600;975;900;;
232;100 232 x 1 0 0;309;483;564;756;677;976;547;;
